Title,Note,URL,Tags,Comment
Blue & Cream,,https://www.google.com/maps/place/Blue+%26+Cream/data=!4m2!3m1!1s0x89c259833c5db64b:0x190c917fa5f1050b,,
"260 Sample Sale, Final Sale",,"https://www.google.com/maps/place/260+Sample+Sale,+Final+Sale/data=!4m2!3m1!1s0x89c2596da3a9e76b:0xcba991ff48e5f0c7",,
"260 Sample Sale, Lafayette",,"https://www.google.com/maps/place/260+Sample+Sale,+Lafayette/data=!4m2!3m1!1s0x89c259beec4710d3:0x264a552cf20fd4b0",,
Yesterday's,,https://www.google.com/maps/place/Yesterday's/data=!4m2!3m1!1s0x89c25974645dabc9:0x51af2b6fd8003e43,,
The Red Lion | NYC,,https://www.google.com/maps/place/The+Red+Lion+%7C+NYC/data=!4m2!3m1!1s0x89c25991e8b3e73f:0x40bdec8381464f98,,
Do Not Disturb,,https://www.google.com/maps/place/Do+Not+Disturb/data=!4m2!3m1!1s0x89c2594dd082f3d5:0x39066a8ad806ac69,,
Ways and Means,,https://www.google.com/maps/place/Ways+and+Means/data=!4m2!3m1!1s0x89c25991f3d7321f:0x9e92a98664acfc4,,
L'Accolade,,https://www.google.com/maps/place/L'Accolade/data=!4m2!3m1!1s0x89c259a9355558d5:0x51569113e0d14068,,
The Mary Lane,,https://www.google.com/maps/place/The+Mary+Lane/data=!4m2!3m1!1s0x89c2596adc65fabd:0xfcbb8a5e97323af4,,
Dante West Village,,https://www.google.com/maps/place/Dante+West+Village/data=!4m2!3m1!1s0x89c2595522e3b1b9:0x1aeb5136529256a,,
John's of Bleecker Street,,https://www.google.com/maps/place/John's+of+Bleecker+Street/data=!4m2!3m1!1s0x89c25993a1376eb9:0x41ca6e3a2f6d4e74,,
The Red Pavilion,,https://www.google.com/maps/place/The+Red+Pavilion/data=!4m2!3m1!1s0x89c25f1530e22ad3:0xf5542723b6abac42,,
Sleepwalk,,https://www.google.com/maps/place/Sleepwalk/data=!4m2!3m1!1s0x89c25bbf10490c2f:0xf1f73d1549a875ad,,
The Sultan Room,,https://www.google.com/maps/place/The+Sultan+Room/data=!4m2!3m1!1s0x89c25d741129cb03:0x35a6b20448aa4208,,
L Train Vintage,,https://www.google.com/maps/place/L+Train+Vintage/data=!4m2!3m1!1s0x89c25db65c51c825:0x57b203af0f77ddbb,,
L Train Vintage,,https://www.google.com/maps/place/L+Train+Vintage/data=!4m2!3m1!1s0x89c25c052dcba4c5:0xab86536660f4241d,,
L Train Vintage,,https://www.google.com/maps/place/L+Train+Vintage/data=!4m2!3m1!1s0x89c25f9169035201:0x3948f4de5a2d22a8,,
28 Scott Vintage,,https://www.google.com/maps/place/28+Scott+Vintage/data=!4m2!3m1!1s0x89c25ea7a47e57a7:0xec8d730a1e3b91e6,,
What Mary Kept,,https://www.google.com/maps/place/What+Mary+Kept/data=!4m2!3m1!1s0x89c25d0881369f87:0xc648e3ac2fc84f80,,
