Title,Category,Neighborhood,Address,Lat,Long,Original_URL
EDEN (Eden Gallery) - SoHo,Galleries,Little Italy,"470 Broome Street, New York, New York, 10013",40.7226991,-74.0014366,https://www.google.com/maps/place/EDEN+(Eden+Gallery)+-+SoHo/data=!4m2!3m1!1s0x89c2598bf0b2abfb:0x1b3d2bffdb898257
Eric Firestone Gallery,Galleries,NoHo,"40 Great Jones Street, New York, New York, 10012",40.7269555,-73.9926816,https://www.google.com/maps/place/Eric+Firestone+Gallery/data=!4m2!3m1!1s0x89c2599abb1f6e61:0xc572f82c6f4568f7
Jeffrey Deitch,Galleries,Little Italy,"76 Grand Street, New York, New York, 10013",40.7219434,-74.0026550,https://www.google.com/maps/place/Jeffrey+Deitch/data=!4m2!3m1!1s0x89c2598baf3f6075:0x882ac0d144e4013e
