Title,Category,Neighborhood,Address,Lat,Long,Original_URL
56 Bogart St,Arts/Studios/Event Spaces,Brooklyn,"56 Bogart Street, New York, New York, 11206",40.7058650,-73.9331729,https://www.google.com/maps/place/56+Bogart+St/data=!4m2!3m1!1s0x89c25c00fe4119ad:0x80bfea2c85bf1071
EDEN (Eden Gallery) - SoHo,Galleries,Little Italy,"470 Broome Street, New York, New York, 10013",40.7226991,-74.0014366,https://www.google.com/maps/place/EDEN+(Eden+Gallery)+-+SoHo/data=!4m2!3m1!1s0x89c2598bf0b2abfb:0x1b3d2bffdb898257
EDEN,Other/Uncategorized,The Bronx,"East Mount Eden Avenue, New York, New York, 10453",40.8443436,-73.9147452,https://www.google.com/maps/place/EDEN/data=!4m2!3m1!1s0x89c259dd7a4a8c93:0x7c2b3dc079b739b4
Eric Firestone Gallery,Galleries,NoHo,"40 Great Jones Street, New York, New York, 10012",40.7269555,-73.9926816,https://www.google.com/maps/place/Eric+Firestone+Gallery/data=!4m2!3m1!1s0x89c2599abb1f6e61:0xc572f82c6f4568f7
Hall des Lumières,Museums/Cultural Institutions,Civic Center,"49 Chambers Street, New York, New York, 10007",40.7137440,-74.0050720,https://www.google.com/maps/place/Hall+des+Lumi%C3%A8res/data=!4m2!3m1!1s0x89c25bc6f59bb035:0xd3737b4399aaac7f
Jeffrey Deitch,Galleries,Little Italy,"76 Grand Street, New York, New York, 10013",40.7219434,-74.0026550,https://www.google.com/maps/place/Jeffrey+Deitch/data=!4m2!3m1!1s0x89c2598baf3f6075:0x882ac0d144e4013e
Klom Klorm,Dining,Bushwick,"181 Wyckoff Avenue, New York, New York, 11237",40.7031166,-73.9170639,https://www.google.com/maps/place/Klom+Klorm/data=!4m2!3m1!1s0x89c25d6d41e21593:0x94c6ae1d6f2e1176
Tabaré Bushwick,Dining,Bushwick,"1006 Flushing Avenue, New York, New York, 11237",40.7038002,-73.9307300,https://www.google.com/maps/place/Tabar%C3%A9+Bushwick/data=!4m2!3m1!1s0x89c25d44cc8e45f3:0x196703290192315e
